id,language,clean_text,task1,task2,emotion
589,en,karen please go cook for your husband you said bye long time ago and before you log off please fix your name we dont want you loosing precious and faithful followers before your data is up,sexist,stereotyping-dominance,joy
590,en,this is it this is the always worry about if sound bitchy when have to tell people to stfu to let myself or others mostly women talk but the reality is shouldnt have to,non-sexist,non-sexist,anger
591,en,whether jaehyun is straight or gay is like whether he has flat ass or fat ass,non-sexist,non-sexist,joy
592,en,hot slut gets gangbanged,sexist,sexual-violence,anger
593,en,trophy wife,sexist,stereotyping-dominance,joy
594,en,so your father is vet and your daughter has an infection so you let your father examine her way kinda nonsense is this he making himself look like real cunt asg,non-sexist,non-sexist,fear
595,en,instead of saying notallmen all the time what about asking what can we do or even better propose ways of improvement,non-sexist,non-sexist,joy
596,en,like older men making him dance and sodomize him,non-sexist,non-sexist,joy
597,en,she can mute sexual harassment bet mother is proud,sexist,sexual-violence,joy
598,en,harassmentage of consent isnt counterargument to someone consentingplease stop does not mean you respond youre old enough,sexist,sexual-violence,anger
599,en,need man like this to serve,non-sexist,non-sexist,anger
600,en,funny how all the boroughs are all screaming and shouting but not one has bothered to sort anything out within those boroughs just talk about the poor and do nothing,non-sexist,non-sexist,surprise
601,en,instantly donethat shit can and will possibly get people thrown in jailand if they know that and still fucking go with it they deserve it,non-sexist,non-sexist,anger
602,en,someone should tell that blowhard that not only is she harvard educated lawyer but she professorthe nerve of thinking having lawyers report to you puts you on the same level as someone with her experience and credentials fucking mansplaining asshole,non-sexist,non-sexist,anger
603,en,accurate as fuck because now and self taught she never taught me shit besides saying need to learn how to cook for husband or need to look good for your husband everyday type of advice cooked for man everyday and he cheated on me the whole time,sexist,stereotyping-dominance,joy
604,en,well wouldnt call you pig thats way over the line,non-sexist,non-sexist,anger
605,en,farted up storm in vintage clothing store again today lads,non-sexist,non-sexist,anger
606,en,word ive seen so many sisters and nonconf sibs being belittled on social media and real life but no ardent vitriol as it happened the first ladyf the patriarchy racism feminism will be intersectional or it will be,sexist,ideological-inequality,anger
607,en,did you ask her if she would like her soninlaw to grab women the pussy and move on woman like bitch how about have molest reporter in his own house shortly after melania had baron,sexist,sexual-violence,anger
608,en,your daily spread has this to say incorporate new pound coins into your daily routine for the greatest success,non-sexist,non-sexist,joy
609,en,blame helen sara chose to express her opinionsara should maybe pause and consider its not all about her and there are plenty of reasons for women to disagree with her privacy trauma religion just to start,non-sexist,non-sexist,sadness
610,en,backlash from the grab em the pussy and fuck your feelings crowd,sexist,misogyny-non-sexual-violence,anger
611,en,gut says they will replace gebru with plant gotta root out those ethical behaviors has to be as discriminatory as police legislators amp facial recognition after the multimillion contracts announced between amp tech giants we should not be surprised,non-sexist,non-sexist,anger
612,en,solid of notallmen types were so twitchy about it because they didnt really want to be menthis includes me,non-sexist,non-sexist,joy
613,en,they ride merrygoround at the county fair wearing those shirts does that mean theyre cock carousel,sexist,sexual-violence,joy
614,en,the game of golf is so rude to me but love it makes me think that maybe thats what looking for in woman,sexist,stereotyping-dominance,anger
615,en,womens white floral print self tie cami dressfabric crepesize smlxlwomendress womendressup womendresses dress women womensfashion dressmurah dressup womenswear womenfashion womenstyle womens dresscode womensday dresskorea womensstyle womensclothing,non-sexist,non-sexist,joy
616,en,doesnt exist trying to bring it back but people get pissy at me and leave the convo or call me sexist rapist etc,sexist,misogyny-non-sexual-violence,anger
617,en,wait so man without is called preeminent scholar but woman with is told to stop using her honorific this is the garbage women face every single day take seat,sexist,stereotyping-dominance,joy
618,en,he legit deleted it because chinese fans said the hat was ugly,non-sexist,non-sexist,sadness
619,en,,non-sexist,non-sexist,fear
620,en,could you imagine getting in the house later than planned having to put groceries away cook dinner tend to cranky month old and still make sure you look presentable for when your husband comes home,sexist,stereotyping-dominance,anger
621,en,would be such slutbag if they did,sexist,misogyny-non-sexual-violence,anger
622,en,thank you for your support for womens rights there is conflict on occasion between the protected characteristics in the equality and although trans rights are human rights so are womens rights amp womens rights are not trans rights for the taking,non-sexist,non-sexist,joy
623,en,minister wilson not wilson hate when women especially black women are not addressed with the proper title microaggressions,sexist,stereotyping-dominance,anger
624,en,available on all digital platforms,non-sexist,non-sexist,joy
625,en,stop imprisoning pregnant sows in horrific conditions,non-sexist,non-sexist,fear
626,en,clearly its discrimination on gender basismoreover if you question this administrations spokesperson you will be accused of misogyny and patriarchy,sexist,ideological-inequality,anger
627,en,,non-sexist,non-sexist,fear
628,en,resentful of partner for not making more money but more resentful of his crappy employer for not paying him more,non-sexist,non-sexist,anger
629,en,women youre highly susceptible to physical damage in an abusive relationship dont wait till you have internal bleeding before you leave,sexist,misogyny-non-sexual-violence,fear
630,en,notallmen lolz,non-sexist,non-sexist,anger
631,en,case you missed it today is saturday and trump lost yet another case this time wisconsinhe is now,non-sexist,non-sexist,sadness
632,en,is the cafe womenonly so women can chill there without being selfconscious or hit on,sexist,ideological-inequality,fear
633,en,jus personally dont understand women that obsess over men this way,sexist,stereotyping-dominance,joy
634,en,mansplaining clowns like going after for tweetingby tweeting,non-sexist,non-sexist,anger
635,en,even if you are in good place there are statistics and social issues all men need to know about,sexist,ideological-inequality,fear
636,en,womensrights just like to say all for yall now lets hurry up and make boobies legal,sexist,objectification,joy
637,en,look all you like im not your ass with ten foot pole until you stop being such fucking whore amagi,sexist,sexual-violence,anger
638,en,claire however as price for using the magic the witch takes away the girls heart,non-sexist,non-sexist,anger
639,en,new york new york mens grooming lounges pickup serviceladies you dont need to get out of your caronline shopping,non-sexist,non-sexist,anger
640,en,want in christmas is cat girl,non-sexist,non-sexist,sadness
641,en,forbeslist of most powerful women names angelamerkel at number one pelosi,non-sexist,non-sexist,anger
642,en,he didnt joke about rape he just said kill all women and got banned saying men dont get scared to go out at night doesnt prove anything you literally said men werent getting killed and raped,sexist,misogyny-non-sexual-violence,fear
643,en,account has been suspended since june there is no violationyour account has been suspended due to system misidentificationplease hurry to unsuspend accountcase number please do not ignore itplease do not run awayharassed twittersupport,non-sexist,non-sexist,anger
644,en,stay away from man slutbag,sexist,misogyny-non-sexual-violence,fear
645,en,breaking news women have to suck the longer due to covid,sexist,sexual-violence,sadness
646,en,said your boyfriends tits were poggers while he was playin overwatch and then he groped them for me youve chosen good one,non-sexist,non-sexist,anger
647,en,truth there is no correlation between the extent of gender equality laws and policies implemented within states and the quality of life of their women khilafahharapanperempuan khilafahharapankaumibu,non-sexist,non-sexist,joy
648,en,thats misandry,non-sexist,non-sexist,anger
649,en,notallmen maybe but incidents like this make us feel unsafe around man not our fault understand the gravity of the issue menwe scaredevery time stranger man closely walk get anxious thought is will he grope me so how to react,sexist,sexual-violence,fear
650,en,this also goes into broader issue is society fetishing youth especially when it comes to women and you can call me an or whatever but theres this deeply sexist mindset that women just stop being attractive at like and its you see lot of famous guys with very,sexist,objectification,anger
651,en,mariah we are here to tell women behind us the truth that child is yours through thick sleepless nights motherhood is labour intensive without pause button day in day out everyday whether youre well or sick child must eat,non-sexist,non-sexist,fear
652,en,well well well killing your art of the deal making you look like school boy bitch notgoodleftisbest,non-sexist,non-sexist,anger
653,en,,non-sexist,non-sexist,fear
654,en,also apparently wonder woman can now,non-sexist,non-sexist,surprise
655,en,she will get better and will kick more this is great step for women in football the first person to do somethings usually isnt doing it at the highest level ive seen girl kick yard field goal in highschool so its not about gender,non-sexist,non-sexist,joy
656,en,you could do video on the value intersectional feminism has brought to our culture only be about seconds worth but hey love to hear what moviestv shows youre looking to see in the ones that have you going maybe give this whirl,non-sexist,non-sexist,joy
657,en,manspreading of the day hugh jackmanthat is daddy spreading,non-sexist,non-sexist,joy
658,en,women are virus,sexist,misogyny-non-sexual-violence,fear
659,en,now look fat cunt dont think dream is god like his content and all but not dream or shit stan but can tell you dream isnt racist for saying the word doesnt only apply to black people and the fact that you automatically assumed that makes you racist,non-sexist,non-sexist,anger
660,en,care about the suffering of thinking and feeling creatures agree people should avoid getting pregnant mistake that is obvious still no birth control is fool proof plus women get raped,non-sexist,non-sexist,fear
661,en,you aint text me bacc you dirt necc slut,sexist,sexual-violence,anger
662,en,the puritan dinner episode of blackadder on and turn it over and get an advert for the sex toy shop,non-sexist,non-sexist,anger
663,en,last kick off the week ride on started this ride during lockdown and now super proud of this amazing community of women thats grown as result thanks to the ladies who joined today may this momentum continue rideon,non-sexist,non-sexist,joy
664,en,omo thats such weird thing to say to potential mentor the flip side spaces are notorious for not being womenfriendly so can understand her fearsstill daft rude thing to say when youre reaching out to someone for help,non-sexist,non-sexist,surprise
665,en,cant wait for puritan mha stans to jump to only to be punched canon incest the author thanks gege,non-sexist,non-sexist,fear
666,en,can you ask ferguson is on nervtag his previous predictions have frankly been shite and in lockdown he was shagging some married bint,sexist,sexual-violence,anger
667,en,thought she was just gangbanged,sexist,sexual-violence,anger
668,en,sexual harassment law is very important but think it would be mistake if the sexual harassment law movement is the only way in which feminism is known in the media judith butlerquotesfolder,sexist,ideological-inequality,anger
669,en,womancant believe someone actually said this to me in,sexist,stereotyping-dominance,anger
670,en,bonus no sochi flower ceremony,sexist,sexual-violence,joy
671,en,what cock tease,sexist,sexual-violence,anger
672,en,gtall women are good forits only the most important thing anyone will ever do in their lifetimeraising humans is far more important than clocking up sexual partners drinking until you pass out or working for years to doe alone surrounded cats,sexist,stereotyping-dominance,joy
673,en,be housewife who outright liesshes blackout drunk now shes backin out drivei ran outside she tryna act outhes descrbing woman who is complusive liaroutright lies shes blackout drunk now shes backin out drivedriving drunk she tryna act out behavior,sexist,stereotyping-dominance,anger
674,en,now if genuine video showed up showing biden saying you just grab em the pussy or that he would date his daughter if only she wasnt or calling woman horseface or constantly rating womens value based on attractiveness then in millisecond,sexist,misogyny-non-sexual-violence,joy
675,en,hi please could you explain to daughter and me there are only women on your guess who board and men everydaysexism,sexist,ideological-inequality,anger
676,en,no but its the first time piece of trash trophy wife has debased the white house,sexist,objectification,sadness
677,en,hello free woman,non-sexist,non-sexist,joy
678,en,pray dirty house educated hoe job gold digger clean pussy balls sniffer loyal zero pussy faithful cheater,sexist,objectification,love
679,en,ivanka dont think you look like prostitute at all,non-sexist,non-sexist,anger
680,en,these men who are trump supporters seen beating up couple including woman like trump these bullies are cowards this is trumps legacy for america once the land of the free he has deliberately brought out the worst in some americans,sexist,misogyny-non-sexual-violence,anger
681,en,would kiss and bite both cheeks before parting your gorgeous pussy lips with tongue then run it up over your pussy to your tight little ass then tease your clit with cock before slipping it in your tight pussy until you cover it in cum,sexist,sexual-violence,joy
682,en,mom never told me to cook need it for husband later in life now im married and both me and him can cook and love cooking for him its as simple as seeing the person you love eat what you cooked happily is make your heart full its not as low as you think you are,non-sexist,non-sexist,sadness
683,en,join the call ass,non-sexist,non-sexist,joy
684,en,was specifying what was saying so you can understand point it isnt transphobic to not prefer trans women in romantic sense it is transphobic to deny their rights and such,non-sexist,non-sexist,anger
685,en,like yes hes so attractive,non-sexist,non-sexist,joy
686,en,had to look it up but the drama with rowan was about him constantly liking antifeminism posts whereas this was the time she started speaking up more about feminism,sexist,ideological-inequality,anger
687,en,years old waiting for mature women who want to chat horny hornyaf hornyteen hornymilf milf milfs hornymom sex porn nude nudes hornydm cumtribute dick mature maturebeauty maturefantasy cocktribute hornyaf wank snapme trade,sexist,objectification,love
688,en,girl on caseload favorite kid is into being sker and scene anyone knows me all about the daddy issues music and thiccc eyeliner shopping for her had me feeling nostalgic bringbackemo,non-sexist,non-sexist,love
689,en,sorry if man masculine woman ever grab the wrong hand to propose to you you need to reevaluate your life,sexist,stereotyping-dominance,sadness
690,en,trump never signed the bill unemployment benefits just like the violence against women act expired,non-sexist,non-sexist,sadness
691,en,england never liked his illegitimate ass anyway he got charles money yet his daddy is james hewitt he needs to give up his citizenship and stay over there with the gold digger,non-sexist,non-sexist,anger
692,en,breaking news melania hasnt been asked to be on many magazine covers because she is trashy embarrassing skank she isnt classy she isnt smart she isnt role modelshe is porn model mail order wife who married the donald amp bore him children that is all,sexist,misogyny-non-sexual-violence,sadness
693,en,shout out to its gotham bitch on discord who called jamie slutbag love that for you,sexist,misogyny-non-sexual-violence,anger
694,en,yeah both of them are very awful flags are bit of an art on themselves too many of these flags people mock up are so ugly,non-sexist,non-sexist,sadness
695,en,womans choice the man in dress,non-sexist,non-sexist,joy
696,en,achieving community peace dialogue through empowering community structures in enhancing sustainable peace is the way to prevent conflicts strenghten cooperation between tribes races nations unityindiversity justice and equality,non-sexist,non-sexist,joy
697,en,our buddy from chan beat him during gamergate he embarrasses himself now,non-sexist,non-sexist,anger
698,en,bitch you wish you were as flawless as me maybe then you could keep man without having to spread your legs even after all them surgeries you still look like hot shit get shovel fool cus you,sexist,misogyny-non-sexual-violence,joy
699,en,lets be honest though were doing this then they become unitsclasses about postcolonial theory feminism or psychoanalysisnot literaturewhich is fine but lets at least be honest about itits an approach to literature that affirms one worldview,non-sexist,non-sexist,joy
700,en,calling it mansplaining is an intentional way of stifling speech vilifying it is typical passiveaggressive behavior that women are known for,sexist,ideological-inequality,anger
701,en,slag was harsh sorry more like muppet,non-sexist,non-sexist,anger
702,en,wrote this for mothers daybut have it on repeat for the new members and subscribers link,non-sexist,non-sexist,joy
703,en,kanreee rape steve lesher foundation turn off tanks behind invisible zinzanni,non-sexist,non-sexist,fear
704,en,you sound crazy so going to leave this conversation because if you truly believe that he is here to save us you got problems man who treat woman as property grab them the pussy force his self on them mentality is savior then you too is part of the problem,sexist,sexual-violence,fear
705,en,primestorage is locking me out at have no where to go disabled not our problem they dare say be in trouble tonight cuz im leaving till im ready thanks for everything shirleytitus youre fucking lowlife skank,non-sexist,non-sexist,sadness
706,en,hey could you follow these accounts they really deserve it,non-sexist,non-sexist,joy
707,en,wait did khune just spank that woman,non-sexist,non-sexist,anger
708,en,yet another sad day to be republican handful senators voted against this absurd bill where are the statesman with spines in this hour where are the politicians who arent yes men amp women thank god for where would we be without him godwins,non-sexist,non-sexist,sadness
709,en,bearded women nko,non-sexist,non-sexist,fear
710,en,so woman shoots man in the head women are cheering about it and youre like men do the same thing on the dailyand now when your stupidity is pointed out youre like this is the level youre on,sexist,ideological-inequality,joy
711,en,the two things women cant stand getting what they ask fornot getting what they ask for,sexist,stereotyping-dominance,anger
712,en,the length of the skirt is very short,sexist,objectification,anger
713,en,men are so ugly women are so beautiful they really dont deserve us,sexist,objectification,sadness
714,en,kissing most women is uncivilized she sucks then we fuck simple,sexist,sexual-violence,anger
715,en,course dont think all women think alike not soh not you but think in this case you know what mean,non-sexist,non-sexist,joy
716,en,not going to make reading goals this year not even close well least thats one thing for which cant blame that was all me writingcommunity,non-sexist,non-sexist,anger
717,en,women only control between and of assets under management depending on specific class when will we see more gender equality in investing,sexist,stereotyping-dominance,fear
718,en,whats she sayingall this time just thought she hated bitch,non-sexist,non-sexist,anger
719,en,just seen this man say he was kids but not with the same woman and just wanna know where he gone find women who would sleep with him,sexist,sexual-violence,sadness
720,en,pity we have such puritankilljoy for ministeri hope you ban him from your establishments,non-sexist,non-sexist,anger
721,en,crowley yunlan manspreading challenge,non-sexist,non-sexist,fear
722,en,biggest pet peeve since being pregnant is people trying to tell me what can or cant eatdo unless youre professionali ask keep your advice to yourself please pregnancy is planned did best to prepare body for this mentallyphysically,non-sexist,non-sexist,fear
723,en,bro,non-sexist,non-sexist,fear
724,en,objectification,sexist,objectification,anger
725,en,let the bodies hit the floor who played who is life full of mediocrity and jealous females that never will get it because their brain has zero cells left shush me again and approach you once more skank,sexist,misogyny-non-sexual-violence,anger
726,en,sometimes hate neymar as football pundit not as fan dont like players who play the victim card,non-sexist,non-sexist,anger
727,en,first of all he didnt say that the environment is not something meghan has ever talked about that is harrys passion but sure blame the black women,sexist,ideological-inequality,joy
728,en,even subliminally people clock this mask sainsbos smiled at bloke who said the self checkout wont take money after locking eyes he said of course if it was woman it would take money or would he have said it anyway everydaysexism,sexist,ideological-inequality,joy
729,en,looks like some everydaysexism to me calling for the sacking of an individual female journalist on the basis that she asks challenging questions maybe he should concentrate on the proven bully on his own party,sexist,misogyny-non-sexual-violence,anger
730,en,every time say hate selfproclaimed male feminists dont mean jonghyun he is only the few men that are true male feminists,non-sexist,non-sexist,anger
731,en,gsupopcult week femism and post feminism theory are both important in the context of american society especially now during the current political climate and how both these theories accommodates women in the workplace race will continue to be dividing point,non-sexist,non-sexist,anger
732,en,maybe he wasnt eating that way every single day men do burn more calories than women so maybe he was in deficit without realising it,non-sexist,non-sexist,anger
733,en,,non-sexist,non-sexist,fear
734,en,we can assume the mans man is man for men and the manly part certainly makes it plain whos on top would think ladys man would be very different person one in love with women obsessed with them but mens men must be obsessed with men repressed dont you think,sexist,ideological-inequality,love
735,en,dont understand she was bullied at all mean its been while since watched but she wasnt annoying at all to me she seemed fine and then were so quick to call her annoying and hate her probably cos they were racist or sexist,non-sexist,non-sexist,anger
736,en,yes sure women will totally hop on the bandwagon of not calling male violence what it ismale violence sex based violence all over the globe from menstruation ostracism to killing female fetusesnotallmen eh are you also selling all lives matter,sexist,ideological-inequality,anger
737,en,and slag off tommy robinson and you will also get blocked this bitch is not taking anymore prisoners anymore am talking about myself so you cant suspend me thank you and have pleasant evening,non-sexist,non-sexist,anger
738,en,puritan cleaners coats for kids at gordon elementary,non-sexist,non-sexist,anger
739,en,lie beneath weighted blanket and imagine am being pressed to death following trial in puritan colony where was found guilty of witchcraft more weight out softly the sleep that follows is dreamless,non-sexist,non-sexist,sadness
740,en,some people live their lives to cock block and buzz kill others dont get it,non-sexist,non-sexist,anger
741,en,non-sexist,non-sexist,non-sexist,love
742,en,dumb blonde as always,sexist,stereotyping-dominance,sadness
743,en,put another way if one sees man and woman fighting knows nothing about the situation and is forced to place bet on who is closer to the truth pick the woman all day call me sexist but we both know that bet prints money,non-sexist,non-sexist,anger
744,en,hear classic rock and pop oldies favs like hoku another dumb blonde and other thru hits wannabees on,non-sexist,non-sexist,joy
745,en,consultation on the draft equality outcomes is now live until december equality outcomes aim to achieve specific and identifiable improvements in peoples quality of life eliminate discrimination and promote understanding between people,non-sexist,non-sexist,joy
746,en,im ugly crying what the fuck hes so pretty,non-sexist,non-sexist,sadness
747,en,this is cant stand the internet at times lizzo saying she wants to loose weight and be healthier but this is fat shaming and discriminating against fat people,non-sexist,non-sexist,anger
748,en,trump do something nice to send off and yall ga cock block him wow,non-sexist,non-sexist,joy
749,en,hate women like this bitch if dont grab phone or gun and stfu with all that screaming,sexist,misogyny-non-sexual-violence,anger
750,en,there is new episode of mud out today its as close as could get to combining predator and starwarsplatoon scouts are in the middle of frigid jungle in desperate slog to reach an enemy position,non-sexist,non-sexist,anger
751,en,wussification of america,sexist,ideological-inequality,fear
752,en,misgendering the lesbian community does not exist lesbians are not monolith is not lesbians responsibility to be role models you turned off comments on this because you know youre being transphobic this is radical feminists are dangerous,sexist,ideological-inequality,anger
753,en,evil laughter making festi watch boring ass videos,non-sexist,non-sexist,sadness
754,en,there wasnt enough mansplaining and thirst traps on facebook,non-sexist,non-sexist,anger
755,en,mcelroy brothers ass people confirmed,non-sexist,non-sexist,joy
756,en,women are in bad place and think its the same way they do not wanna do they want you in your mind that you dont have any money or anything like you did or not just want you and your money,sexist,stereotyping-dominance,anger
757,en,really want you to understand what youre doing right now you see video of man terrorizing woman and your immediate response is to take issue with the wording on tweet to center your feelings as manthis is not helpful or good take just tone policing,sexist,sexual-violence,joy
758,en,if youre robbing somebody you need to bad enough to fight them too if you want gun for hunting you suck because bow and arrow works just fine whore from the look of it police dont need guns either they like taking the bitch way out instead of squaring up,sexist,misogyny-non-sexual-violence,anger
759,en,dont believe it was call me dumbass or you like man but there are stereotypical assholes out there and believe youre one of them say it was joke all day long but the fact you said it kinda puts you in the catagory of sexist pig,sexist,stereotyping-dominance,anger
760,en,you might say that she grinned asses are the best nonpenetrating part of the humanand sometimes nonhumanbody another superpowered spank to the womans ass,sexist,sexual-violence,joy
761,en,cops kill all walks of life for yes that is primarily black folk but when folk and women are killed it often goes ignored thats the truth and you cannot deny it,non-sexist,non-sexist,anger
762,en,did you just block the cock,non-sexist,non-sexist,anger
763,en,he was accused sexual harassment students who had written him glowing professor reviews his new book fights back,sexist,sexual-violence,anger
764,en,see nothing wrong when women bring attention to the fuck shit men do because men do the exact same thing nothing either sex says shouldnt bother you if it doesnt apply,sexist,ideological-inequality,anger
765,en,yes their outfit very short the skirt,sexist,objectification,joy
766,en,you didnt get the part of her hitting that infamous shoulder shimmy but this is fucking slapper,non-sexist,non-sexist,anger
767,en,you look like prostitute,sexist,sexual-violence,anger
768,en,yep everydaysexism right there job recruitment algorithms can amplify unconscious bias favouring men new research finds news as did the human recruiters,sexist,stereotyping-dominance,fear
769,en,bitches get money and start acting bougie bitch quit faking cause use to buy you switches at lunchtime so quit acting like that asking for cents zhane,sexist,stereotyping-dominance,anger
770,en,account has been suspended since june there is no violationyour account has been suspended due to system misidentificationplease hurry to unsuspend accountcase number please do not ignore itplease do not run awayharassed twittersupport,non-sexist,non-sexist,anger
771,en,wanna be gangbanged like lot of cocks at once horny sext porn gangbang,sexist,sexual-violence,love
772,en,byleth looked at the gathered house leaders said alright none of you are leaving this room until youve fucked your issues out and left minutes later edelgard was bouncing on claudes dick with dimitris face between her titsan hour later fodlan finally knew peace,sexist,sexual-violence,anger
773,en,ya momma named you eugene thats exactly imma call you,non-sexist,non-sexist,joy
774,en,aye bro if you had gold digger just say that,sexist,misogyny-non-sexual-violence,joy
775,en,look out the feminazi logged on must be on her period,sexist,ideological-inequality,fear
776,en,you can either support her bill or you can be feminist you cant do both allowing trans women to compete against biological women flies in the face of feminism,sexist,ideological-inequality,love
777,en,so you just admitted women make the easiest things so complicated shouldnt have to complete rubiks cube in order to know if girl like me or not,sexist,stereotyping-dominance,joy
778,en,just lovely woman as well appreciate all the spank material she provided me as year old boy,sexist,objectification,love
779,en,thought the same thing as watched the video the white male doctor who killed susan moore is derek chauvin male doctors routinely dismiss womens pain and the seriousness or validity of their illnesses patriarchy is killing us sayhername,sexist,stereotyping-dominance,anger
780,en,gay dudes should coopt the term manspreading just to utterly ruin it,non-sexist,non-sexist,anger
781,en,numbers moses now therefore kill every male among the little ones and kill every women that hath known man lying with him,non-sexist,non-sexist,anger
782,en,over the hill gold digger who dont give fuk about the christmas stuff,sexist,stereotyping-dominance,joy
783,en,what about the part where it with shes not pregnant shes not pregnant,non-sexist,non-sexist,fear
784,en,you look like prostitute whore nancy,sexist,objectification,anger
785,en,like she is making excuses for women but for men its because we are bored men cant be in abusive relationships whether physically or emotionally lot of men are in emotionally abusive relationships but apparently its cos we are bored and for women its cos of abuse,sexist,ideological-inequality,anger
786,en,our thing just the same way women touch each others boobs and ass while playing and joking we dont touch ourselves like that men and women are completely different and you cant and shouldnt expect us to behave or the same way,sexist,ideological-inequality,joy
787,en,watching whitehouse christmas and have yet to see melania working her fken ass off lots of volunteers and staff but no melania wheresmelania,non-sexist,non-sexist,joy
788,en,am not fashion historian but that skirt looks very short for,non-sexist,non-sexist,joy
789,en,supporters should not share in the barnett formula thats just for starters lot of people are sick tired and fed up with there one trick agenda there fiscal mismanagement there continual blame shifting for there cockups enough,non-sexist,non-sexist,anger
790,en,help me dancing with me put out hand for you to grab man can have everything he could possible need or desire but has nothing if he doesnt get the pleasurable company of woman like you wants and desires are great but rule supreme,sexist,objectification,joy
791,en,what person waits until week to have an abortion literally anyone who has been pregnant think about how stretched your body is amp how uncomfortable later pregnancy is now tell me you honestly believe someone would go through an extra months of unnecessary pregnancy,non-sexist,non-sexist,fear
792,en,agree that one cant blame tools options equities futures etc but the carpenter himself same knife can cut hand cutting veggies it all depends how we use it however where we can improve as twitter community is not posting senseless profits instead of process,non-sexist,non-sexist,anger
793,en,believe there is complete equality between men and specialxmas yamyamgucong,non-sexist,non-sexist,joy
794,en,and not only homophobic but the most homophobic like yeah sure sir of course homosexual women are your biggest oppressors,non-sexist,non-sexist,anger
795,en,take your negativity elsewhere you have no reason to hate on pictures seriously are you mad because you get no likes and pull no bitches,non-sexist,non-sexist,anger
796,en,lol got so many mode from innocent to whore,non-sexist,non-sexist,joy
797,en,cuz of women centric or biased laws and for men so its better to not to marry for men thats is trending till know tho mgtow is still betterand western culture of feminism is going in wrong way may for that also,sexist,ideological-inequality,anger
798,en,from their peddling of white supremacist conspiracy theories about george soros to their obsession with the dangers of feminism its clear sovereign nations is christian nationalist organization using whitehead and perrys definition,non-sexist,non-sexist,anger
799,en,cheeky bint hope thats not offensiveyou cheeky git,non-sexist,non-sexist,anger
800,en,how will you feel if look at you and say you look like prostitute will you look at me and just open your mouth gbagada and say look like fuckboy,sexist,objectification,anger
801,en,hate when women do toes cause are you being gentle like that these arent toddler feet get into it,sexist,stereotyping-dominance,love
802,en,sorry that you have so much hate for women,sexist,misogyny-non-sexual-violence,sadness
803,en,all fairness though if youre allowed to be girl be boy you might as well do the funner stuff be heading for the boy scouts too lesson scouts need not complain on each other when they set the rules for their own demise,sexist,stereotyping-dominance,joy
804,en,in he should get off his ass and put more beers in the refrigerator before he goes to bed,non-sexist,non-sexist,anger
805,en,you consider yourself feminist but your feminism does not include sex workers it is intersectional your feminism is not intersectional it is feminism patriarchy harms us all show the red umbrella decriminalize,sexist,ideological-inequality,anger
806,en,must say you are sexy hung skinny boy but very ugly and unactractive unsexy girl so the fuck you want to change better you accept to be very sexy male,sexist,objectification,love
807,en,these vegan tacos are the tits,non-sexist,non-sexist,love
808,en,already had the rona like so many people know recently how will they force those of us who have had it to take vaccine we dont need agree though the gates have history of sterilizing women would this be any different,non-sexist,non-sexist,anger
809,en,life with means having sensational woman to keep me in line and spank ass on the court wouldnt have it any other way,non-sexist,non-sexist,joy
810,en,mean once upon time there actually was mens movement that worked in tandem with the womens movement now we dont seem to have much of anything lol not sure want anything influenced and guided mainstream feminism,sexist,ideological-inequality,joy
811,en,poor and wretched woman her car sit no even get head rest freeomahlay freetems freetemsandomahlay ugandapolice before vex now now,non-sexist,non-sexist,sadness
812,en,you dont take sexual harassment very seriously do you xpel,non-sexist,non-sexist,anger
813,en,wanna see the gape again skank,sexist,misogyny-non-sexual-violence,anger
814,en,yall fetishize men going to jail that shit not sexy,non-sexist,non-sexist,joy
815,en,imagine conversation with that bint deary me,non-sexist,non-sexist,anger
816,en,met him down heathrow before,non-sexist,non-sexist,anger
817,en,nope changing the topic is not an indication of anyone here thinking that feminism isnt without fault you are tripping on something if you seriously think we think feminism is without faults,non-sexist,non-sexist,anger
818,en,the worst part is one of the people has like big common interest and assumed they were mansplaining me but after looking at it again before the common interest came into light its not that bad its little bit but like not full on dont think theyre dude either ahhh,non-sexist,non-sexist,fear
819,en,got women showing ass and titties tonight on clubhouse tune in ladies niggas cant talk to yall unless they tipping cant even sit in the audience follow me halochanel,sexist,objectification,anger
820,en,think she has missed the point of hitchens article not that women arent funny its that they dont have to be and dont think he was wrong and he did account for individual differences which we should do more often instead of losing ourselves in pol,non-sexist,non-sexist,sadness
821,en,were highlighting our staffs favourite books of starting today first up lindsaythe house in the cerulean sea klunethe death of vivek oji akwaeke emeziupright women wanted sarah gailey,non-sexist,non-sexist,joy
822,en,international narcissist day,sexist,ideological-inequality,anger
823,en,who thinks rape bait rapebait rape rapeme raperp sodomize sodomy ass fuck slut hoe bigblackcockbbc bigassgirls bigblackdaddy blackcockaddict assholedestroyed assgape cuckwatching cuckqueanreal trailertrash trailerpark slut cunt,sexist,sexual-violence,anger
824,en,non-sexist,non-sexist,non-sexist,anger
825,en,he started the tribecka film festival that allows people of all colors and backgrounds to submit work not just white male directors hes married to black woman also so theres that,non-sexist,non-sexist,anger
826,en,love these women so so sooo much yall dont understand,non-sexist,non-sexist,love
827,en,fuck uou rat bitch hope harry snag ur face to the pavement slutbag fuckhead snake,sexist,misogyny-non-sexual-violence,anger
